FREQUENCY	MEASURE	ASGS_2011	TIME_FORMAT	obsTime	obsValue	label_ASGS_2011	label_MEASURE	label_FREQUENCY
Q	1	2	P3M	2012-Q3	1136055	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2012-Q3	35229.2	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2012-Q3	67739.2	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2014-Q1	1294655.9	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2014-Q1	40478.9	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2014-Q2	41643.1	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2014-Q4	1377695.1	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2014-Q4	310124.5	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2014-Q2	1307106.8	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2014-Q3	1327279.4	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2011-Q3	38687.4	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2011-Q4	35139.3	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2012-Q2	506497.2	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2012-Q4	1165316.5	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2013-Q1	1182533.1	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2013-Q1	68737	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2013-Q2	69770.5	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2013-Q3	69921.3	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2013-Q4	40723	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2014-Q3	40181.3	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2014-Q4	41804.8	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2014-Q4	92965.4	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2014-Q2	89015.5	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2014-Q4	73293.8	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2011-Q4	1154289.4	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2012-Q1	70580.3	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2012-Q4	1614343.8	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2012-Q4	775683.3	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2013-Q2	1198992.8	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2013-Q3	1232932.5	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2013-Q4	1274230.8	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2014-Q1	828704.8	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2013-Q4	88584.4	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2014-Q3	301283.2	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2014-Q4	2044049	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2014-Q4	868133.1	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2011-Q3	1161369.3	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2011-Q3	274405	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2012-Q1	1143877.6	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2012-Q1	274134.8	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2012-Q2	275411.8	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2012-Q3	274426.7	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2013-Q1	1639237.8	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2013-Q2	790384.3	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2014-Q1	299732.6	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2014-Q2	300870.6	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2014-Q3	89751.4	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2014-Q3	73500.9	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2012-Q1	34682.1	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2014-Q1	580517.9	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2014-Q2	590010.2	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2011-Q4	278424.3	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2012-Q1	758686.5	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2012-Q2	1577280.7	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2012-Q4	69515.3	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2013-Q1	779524.8	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2013-Q2	279797.8	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2013-Q3	792402.3	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2013-Q4	294472.6	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2014-Q2	1899296.5	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2014-Q3	1955831.5	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2014-Q4	595771.2	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2013-Q1	82228	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2012-Q4	530665.2	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2014-Q3	588041	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2011-Q4	81894.6	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2011-Q4	71619.5	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2013-Q4	576871.7	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2012-Q4	38140.7	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2012-Q3	80569.3	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2013-Q3	283716.8	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2011-Q3	79314.2	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2013-Q4	1803058.2	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2013-Q4	72196.8	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2013-Q4	813001.4	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2014-Q1	87645.3	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2012-Q3	1559024.7	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2011-Q4	1523085.2	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2012-Q1	1559361.3	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2013-Q3	559828.3	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2014-Q1	1838723.2	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2012-Q3	772111	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2013-Q1	543125.3	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2011-Q3	494352.4	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2011-Q3	70315.2	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2013-Q3	38527.3	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2013-Q3	84535.9	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2012-Q3	516171.2	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2013-Q2	1674547.9	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2011-Q4	762739.5	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2012-Q2	34361.8	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2013-Q2	85950.8	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2013-Q2	557135.4	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2013-Q3	1720081.3	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2013-Q2	37854.5	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2013-Q1	279142.9	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2012-Q1	80933.4	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2012-Q2	81422.5	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2011-Q3	765191.3	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2012-Q2	763457.8	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	8	P3M	2012-Q4	84485	Australian Capital Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2013-Q1	37414.4	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2012-Q2	68526.2	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	4	P3M	2012-Q4	275396.9	South Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	2	0	P3M	2014-Q4	5123926	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2014-Q3	806400.5	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2014-Q3	4955765.7	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	2	P3M	2014-Q1	1250934.3	Victoria	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	2	P3M	2014-Q3	1282689.8	Victoria	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2014-Q4	32729.4	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2014-Q4	68286.1	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2014-Q3	68441.6	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	2	P3M	2014-Q2	1263274.7	Victoria	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2014-Q1	277542.8	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2013-Q4	769482.7	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2014-Q3	31147.5	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2014-Q2	795822.5	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2014-Q4	821756.5	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2013-Q4	272773.3	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2011-Q4	721480.1	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2014-Q1	80024	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2011-Q4	27445	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2011-Q4	257468.3	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2013-Q4	1707531.6	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2014-Q1	4779662.6	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2014-Q2	4873880.1	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	2	P3M	2013-Q3	1191081.2	Victoria	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2014-Q4	84892.4	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2013-Q2	747864.7	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2013-Q3	749899	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2014-Q3	279029.1	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2013-Q2	524000.1	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2011-Q3	253939.4	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2014-Q4	287475	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2011-Q3	30196.1	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2013-Q4	67191.1	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2013-Q1	4368207.4	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2013-Q4	4703735.9	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	2	P3M	2013-Q2	1158047	Victoria	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	2	P3M	2013-Q4	1231196.5	Victoria	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2012-Q3	27295.7	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2013-Q1	29257.8	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2013-Q3	526132.4	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2014-Q2	1799223.8	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2013-Q4	80854.7	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2014-Q4	560892	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2013-Q3	77161.9	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2014-Q4	1936629.3	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2011-Q4	66647.4	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2012-Q4	4312946.9	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2012-Q1	717810.5	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	2	P3M	2013-Q1	1142076.2	Victoria	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2012-Q3	1476006.3	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2013-Q3	4530851.3	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2012-Q3	63024.1	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2011-Q4	1442134.3	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2014-Q2	32613.6	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2014-Q2	67679.3	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2013-Q2	78476.8	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2011-Q3	4185069.8	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2014-Q3	1852607.8	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2011-Q3	65479.7	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2012-Q3	4206315.6	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2012-Q1	474579.7	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2012-Q2	722320.4	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2012-Q3	730611.1	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2012-Q4	29732.6	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2012-Q4	254907.5	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2013-Q1	1552038.1	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2014-Q1	67466.8	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2014-Q2	555342.1	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	2	P3M	2014-Q4	1331265.3	Victoria	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2014-Q1	1741296.3	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2013-Q3	65125.3	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2011-Q4	4167616.1	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2012-Q2	26825.8	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2011-Q4	463152.5	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2012-Q2	475476.2	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2012-Q4	498679.7	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2014-Q2	278665.4	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2012-Q2	254790.2	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2012-Q3	254105.2	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2014-Q1	546309.1	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2014-Q2	81258.7	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2013-Q3	262555.2	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2014-Q1	31656.9	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2013-Q2	259017.6	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2013-Q3	30376.5	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2012-Q4	1528154.7	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2012-Q2	4221012	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	2	P3M	2012-Q1	1104613.8	Victoria	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2013-Q2	29628.8	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2013-Q2	1585437.9	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2012-Q2	63755.8	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2012-Q4	734111.2	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2011-Q3	723858.5	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2014-Q3	553481.7	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2013-Q3	1628519.9	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2013-Q4	542841.5	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2012-Q1	253614	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	2	P3M	2012-Q2	1110654.2	Victoria	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2012-Q1	26899	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	0	P3M	2013-Q2	4447442.1	Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2012-Q1	1476077.7	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2012-Q4	64669.4	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	4	P3M	2013-Q1	258308.7	South Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	7	P3M	2013-Q4	31864.4	Northern Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2014-Q1	784432.5	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	2	P3M	2011-Q3	1121374.8	Victoria	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2013-Q1	63843.4	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2012-Q1	65710.3	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	6	P3M	2013-Q2	64969.1	Tasmania	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2012-Q1	73903	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2013-Q1	510214.1	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2013-Q1	75045.7	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2012-Q3	73549.6	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2011-Q4	74701.4	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2011-Q3	72384.2	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	5	P3M	2011-Q3	464342.1	Western Australia	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	1	P3M	2012-Q2	1492911	New South Wales	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	3	P3M	2013-Q1	737423.5	Queensland	Value of dwelling stock: Owned by households ($m)	Quarterly
Q	2	8	P3M	2012-Q2	74278.5	Australian Capital Territory	Value of dwelling stock: Owned by households ($m)	Quarterly
